id,name,rating,review_count,price,city,address,latitude,longitude,category,phone,url,price_level
GQwdg3e2MzPORQFf7r7Kug,Mrs. Rosa's Latin Kitchen,5.0,6,,"Atlanta, GA","3940 Peachtree Industrial Blvd Ste C Duluth, GA 30096",33.98572475100423,-84.17049493450256,Latin American,(404) 992-1968,https://www.yelp.com/biz/mrs-rosas-latin-kitchen-duluth?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
LMuXS8dhMHqu7qdseUc35A,Buena Papa Fry Bar,4.9,16,,"Atlanta, GA","1245 Glenwood Ave SE Atlanta, GA 30316",33.73996,-84.34665,"Fast Food, Latin American",,https://www.yelp.com/biz/buena-papa-fry-bar-atlanta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
imK2KdIySXdbj0FI8YPD8A,La Tropical,4.8,13,,"Atlanta, GA","1235 Chattahoochee Ave NW Atlanta, GA 30318",33.80283428885476,-84.42859284470913,"Latin American, Cuban, Puerto Rican",,https://www.yelp.com/biz/la-tropical-atlanta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
n20rQSzceONC3eQRnprmhQ,Arepa Grill,4.7,45,,"Atlanta, GA","4166 Buford Hwy NE Atlanta, GA 30345",33.864933,-84.308241,Venezuelan,(678) 974-7795,https://www.yelp.com/biz/arepa-grill-atlanta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
tuNjPUE2QF1FroLFYwLAWg,La Semilla,4.7,199,$$,"Atlanta, GA","780 Memorial Dr SE Ste 4A Atlanta, GA 30316",33.74680739725951,-84.36155897405541,"Latin American, Vegan",,https://www.yelp.com/biz/la-semilla-atlanta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,2.0
Cci_UUdG7T0X-VnoYT3BtA,Calle El Hambre,4.7,9,,"Atlanta, GA","950 Cobb Pkwy S Ste 215 Marietta, GA 30060",33.929213,-84.510118,"Venezuelan, Burgers, Hot Dogs",(470) 218-2650,https://www.yelp.com/biz/calle-el-hambre-marietta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
7-ZCwCGAlFREGdZZBscwNw,Restaurante Guatemalteco Fuente de Bendicion,4.7,12,,"Atlanta, GA","5510 Spalding Dr Peachtree Corners, GA 30092",33.96967,-84.22285,Latin American,(470) 359-5170,https://www.yelp.com/biz/restaurante-guatemalteco-fuente-de-bendicion-peachtree-corners?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
rMQPC0UGceG3gmG8iv1POA,Casi Cielo,4.6,661,,"Atlanta, GA","6125 Roswell Rd Atlanta, GA 30328",33.92237,-84.378885,"Cocktail Bars, Mexican, Tapas/Small Plates",(404) 549-9411,https://www.yelp.com/biz/casi-cielo-atlanta?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,
9JRhcsM5oaiZiqmHuE3Rbg,Pollo Primo,4.6,225,$$,"Atlanta, GA","792 Moreland Ave SE Atlanta, GA 30316",33.73279,-84.34891,Latin American,(404) 748-9082,https://www.yelp.com/biz/pollo-primo-atlanta-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,2.0
nC06KAmCvwjK6GFIE414cw,Golden Drops Café,4.6,365,$,"Atlanta, GA","1788 Clairmont Rd Decatur, GA 30033",33.8061978685091,-84.3107869103551,"Coffee & Tea, Breakfast & Brunch, Brazilian",(404) 968-9981,https://www.yelp.com/biz/golden-drops-caf%C3%A9-decatur?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,1.0
